OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS
51.81,52.14,51.42,51.79,60697000,0.0,0,QQQ,2011-04-07,18.0,929.5799999999999,932.58
52.03,52.11,51.28,51.55,42782200,0.0,0,QQQ,2011-04-08,18.0,929.5799999999999,936.54
51.75,51.85,51.19,51.38,42451700,0.0,0,QQQ,2011-04-11,20.0,1033.08,1035.0
51.14,51.27,50.82,51.02,50422800,0.0,0,QQQ,2011-04-12,20.0,1033.08,1022.8
51.4,51.59,51.05,51.46,49979800,0.0,0,QQQ,2011-04-13,20.0,1033.08,1028.0
51.1,51.44,50.9,51.37,53544100,0.0,0,QQQ,2011-04-14,20.0,1033.08,1022.0
51.17,51.47,50.94,51.28,68530000,0.0,0,QQQ,2011-04-15,20.0,1033.08,1023.4000000000001
50.76,50.93,50.07,50.91,69065000,0.0,0,QQQ,2011-04-18,22.0,1134.6,1116.72
51.05,51.23,50.78,51.23,38608400,0.0,0,QQQ,2011-04-19,22.0,1134.6,1123.1
52.14,52.44,52.07,52.39,67397500,0.0,0,QQQ,2011-04-20,22.0,1134.6,1147.08
52.9,52.92,52.64,52.81,43666800,0.0,0,QQQ,2011-04-21,22.0,1134.6,1163.8
52.85,52.97,52.75,52.94,25376800,0.0,0,QQQ,2011-04-25,24.0,1240.3,1268.4
53.08,53.43,52.96,53.24,49400000,0.0,0,QQQ,2011-04-26,24.0,1240.3,1273.92
53.34,53.67,53.1,53.6,56465500,0.0,0,QQQ,2011-04-27,24.0,1240.3,1280.16
53.44,53.61,53.29,53.52,48100000,0.0,0,QQQ,2011-04-28,24.0,1240.3,1282.56
53.42,53.67,53.38,53.48,44831200,0.0,0,QQQ,2011-04-29,24.0,1240.3,1282.08
53.56,53.71,53.24,53.38,48149400,0.0,0,QQQ,2011-05-02,26.0,1347.42,1392.56
53.35,53.4,52.8,53.12,38100000,0.0,0,QQQ,2011-05-03,26.0,1347.42,1387.1000000000001
53.15,53.29,52.6,53.04,53097200,0.0,0,QQQ,2011-05-04,26.0,1347.42,1381.8999999999999
52.78,53.38,52.57,52.75,72200000,0.0,0,QQQ,2011-05-05,26.0,1347.42,1372.28
53.28,53.58,52.78,52.92,72507000,0.0,0,QQQ,2011-05-06,26.0,1347.42,1385.28
53.01,53.33,52.81,53.12,40022000,0.0,0,QQQ,2011-05-09,28.0,1453.44,1484.28
53.28,53.66,53.2,53.57,38053600,0.0,0,QQQ,2011-05-10,28.0,1453.44,1491.8400000000001
53.49,53.68,52.82,53.19,61900000,0.0,0,QQQ,2011-05-11,28.0,1453.44,1497.72
53.02,53.57,52.71,53.5,66100000,0.0,0,QQQ,2011-05-12,28.0,1453.44,1484.5600000000002
53.38,53.47,52.85,52.87,63506600,0.0,0,QQQ,2011-05-13,28.0,1453.44,1494.64
52.62,52.79,51.84,51.95,73115300,0.0,0,QQQ,2011-05-16,30.0,1558.68,1578.6
51.68,52.11,51.57,52.1,63136000,0.0,0,QQQ,2011-05-17,30.0,1558.68,1550.4
